epsilon11,epsilon12,epsilon22,sigma11,sigma12,sigma22,nu12
1,1.13964e-15,-0.3,1,8.76649e-16,4.23443e-15,0.3,
1.25,1.58436e-15,-0.375,1.25,1.21874e-15,8.33909e-15,0.3,
1.5,1.68497e-15,-0.45,1.5,1.29613e-15,9.6563e-15,0.3,
1.75,1.70697e-15,-0.525,1.75,1.31305e-15,7.23534e-15,0.3,
2,2.27929e-15,-0.6,2,1.7533e-15,8.46886e-15,0.3,
0.75,8.42486e-16,-0.225,0.75,6.48066e-16,4.82815e-15,0.3,
0.5,5.69822e-16,-0.15,0.5,4.38325e-16,2.11722e-15,0.3,
0.4,5.21302e-16,-0.12,0.4,4.01001e-16,1.73593e-15,0.3,
0.3,4.66259e-16,-0.09,0.3,3.58661e-16,1.65555e-15,0.3,
0.2,2.60651e-16,-0.06,0.2,2.00501e-16,8.67965e-16,0.3,
0.1,1.30325e-16,-0.03,0.1,1.0025e-16,4.33983e-16,0.3,
(grafici Sigmund, E = 0.0072*1e-9; u che va da 0.4 a 0.05)
0.4,-3.46893e-16,-0.12,2.88e-12,-1.92125e-27,-3.01013e-26,0.3,
0.35,-2.67945e-16,-0.105,2.52e-12,-1.48401e-27,-2.56328e-26,0.3,
0.3,-2.59983e-16,-0.09,2.16e-12,-1.43991e-27,-2.28106e-26,0.3,
0.25,-2.05599e-16,-0.075,1.8e-12,-1.1387e-27,-1.87131e-26,0.3,
0.2,-1.73446e-16,-0.06,1.44e-12,-9.60626e-28,-1.50507e-26,0.3,
0.15,-1.29992e-16,-0.045,1.08e-12,-7.19953e-28,-1.14053e-26,0.3,
0.1,-8.67232e-17,-0.03,7.2e-13,-4.80313e-28,-7.52533e-27,0.3,
0.05,-4.33616e-17,-0.015,3.6e-13,-2.40156e-28,-3.76267e-27,0.3,
(grafici Sigmund, E = 1e-9; u che va da 0.4 a 0.05)
0.4,-8.96037e-16,-0.12,4e-10,-6.89259e-25,-3.04452e-24,0.3,
0.35,-8.90607e-16,-0.105,3.5e-10,-6.85082e-25,-3.53624e-24,0.3,
0.3,-8.05415e-16,-0.09,3e-10,-6.1955e-25,-2.62484e-24,0.3,
0.25,-3.85941e-16,-0.075,2.5e-10,-2.96878e-25,-1.87119e-24,0.3,
0.2,-4.48018e-16,-0.06,2e-10,-3.4463e-25,-1.52226e-24,0.3,
0.15,-4.02707e-16,-0.045,1.5e-10,-3.09775e-25,-1.31242e-24,0.3,
0.1,-2.24009e-16,-0.03,1e-10,-1.72315e-25,-7.61129e-25,0.3,
0.05,-1.12005e-16,-0.015,5e-11,-8.61574e-26,-3.80564e-25,0.3,
(grafici Sigmund, E = 0.0072; u che va da 0.4 a 0.05)
0.4,-1.7629e-15,-0.12,0.00288,-9.76373e-18,-5.76176e-17,0.3,
0.35,-1.56234e-15,-0.105,0.00252,-8.65298e-18,-4.61112e-17,0.3,
0.3,-1.25721e-15,-0.09,0.00216,-6.96299e-18,-4.21466e-17,0.3,
0.25,-1.07614e-15,-0.075,0.0018,-5.96014e-18,-3.59922e-17,0.3,
0.2,-8.81448e-16,-0.06,0.00144,-4.88186e-18,-2.88088e-17,0.3,
0.15,-6.28603e-16,-0.045,0.00108,-3.48149e-18,-2.10733e-17,0.3,
0.1,-4.40724e-16,-0.03,0.00072,-2.44093e-18,-1.44044e-17,0.3,
0.05,-2.20362e-16,-0.015,0.00036,-1.22047e-18,-7.2022e-18,0.3,
